LGA name,Health Care Card,JobSeeker Payment,Low Income Card,Total Youth Allowance
Newcastle (C),8770,5690,745,2535
North Sydney (A),1040,620,85,195
Northern Beaches (A),4470,2490,435,690
Oberon (A),195,140,15,20
Orange (C),1950,1200,155,335
Parkes (A),830,620,80,105
Parramatta (C),9345,5200,970,1695
Penrith (C),10320,6510,810,1365
Port Macquarie-Hastings (A),4540,2955,485,660
Port Stephens (A),3655,2630,460,445
Queanbeyan-Palerang Regional (A),1590,1090,175,155
Randwick (C),3490,2100,345,810
Richmond Valley (A),1465,1110,150,185
Ryde (C),3735,1835,440,845
Shellharbour (C),3430,2475,435,465
Shoalhaven (C),4920,3685,635,580
Singleton (A),970,635,95,105
Snowy Monaro Regional (A),690,510,95,75
Snowy Valleys (A),660,490,75,50
Strathfield (A),1450,830,130,285
Sutherland Shire (A),5055,2710,590,705
Sydney (C),6410,5185,595,1675
Tamworth Regional (A),3505,2505,255,495
Temora (A),250,180,40,35
Tenterfield (A),485,510,60,40
The Hills Shire (A),4640,1765,535,730
Tweed (A),4630,3610,595,530
Upper Hunter Shire (A),520,420,50,45
Upper Lachlan Shire (A),290,195,45,30
Uralla (A),315,200,40,35
Wagga Wagga (C),3565,2055,320,755
Walcha (A),125,115,10,20
Walgett (A),735,690,30,110
Warren (A),200,170,10,25
Warrumbungle Shire (A),570,505,30,75
Waverley (A),1120,745,95,170
Weddin (A),155,140,20,15
Wentworth (A),445,335,65,45
Willoughby (C),1425,685,160,280
Wingecarribee (A),1365,790,180,150
Wollondilly (A),1780,930,155,170
Wollongong (C),10080,7010,1105,2375
Woollahra (A),775,435,45,150
Yass Valley (A),445,250,45,50
Unincorporated NSW,35,30,5,10
Alpine (S),575,300,165,35
Ararat (RC),680,490,215,65
Ballarat (C),6915,4115,1685,965
Banyule (C),5095,2460,1370,730
Bass Coast (S),2245,1550,820,160
Baw Baw (S),3030,1595,930,265
Bayside (C),2190,1045,610,295
Benalla (RC),795,565,185,80
Boroondara (C),4840,1585,1220,1170
Brimbank (C),14340,9070,2620,2010
Buloke (S),305,225,60,30
Campaspe (S),2245,1625,560,190
Cardinia (S),5915,2735,1145,585
Casey (C),21820,9895,3645,2745
Central Goldfields (S),1065,880,310,110
Colac-Otway (S),1085,675,350,95
Corangamite (S),770,505,260,50
Darebin (C),7370,4675,1580,1235
East Gippsland (S),3205,2215,1070,245
Frankston (C),6935,4730,1515,750
Gannawarra (S),555,435,135,40
Glen Eira (C),4855,2135,1110,830
Glenelg (S),1155,915,390,110
Golden Plains (S),1115,495,345,90
Greater Bendigo (C),7220,4320,1640,1015
Greater Dandenong (C),10880,6380,1840,1670
Greater Geelong (C),14770,7975,3930,2220
Greater Shepparton (C),4640,3195,840,540
Hepburn (S),875,530,320,65
Hindmarsh (S),300,235,85,35
Hobsons Bay (C),4140,2360,945,490
Horsham (RC),1130,660,315,140
Hume (C),18945,10420,2540,2685
Indigo (S),680,390,175,50
Kingston (C) (Vic.),5765,2930,1655,715
Knox (C),7195,3200,2105,915
Latrobe (C) (Vic.),5755,4195,1430,605
Loddon (S),430,425,95,35
Macedon Ranges (S),1870,760,565,170
Manningham (C),4830,1745,1425,690
Mansfield (S),380,220,115,15
Maribyrnong (C),5075,3495,960,875
Maroondah (C),5005,2320,1375,570
Melbourne (C),7350,3780,1100,2395
Melton (C),12195,5645,1780,1420
Mildura (RC),3780,2615,560,385
Mitchell (S),2650,1615,555,235
Moira (S),1580,1055,415,155
Monash (C),8105,2995,2245,1640
Moonee Valley (C),5175,2735,1365,750
Moorabool (S),1790,940,425,150
Moreland (C),8945,4800,1840,1500
Mornington Peninsula (S),6660,3605,2060,535
Mount Alexander (S),1005,585,305,65
Moyne (S),780,420,245,60
Murrindindi (S),695,465,210,45
Nillumbik (S),1985,745,710,200
Northern Grampians (S),710,535,210,50
Port Phillip (C),3625,2730,715,595
Pyrenees (S),435,325,130,30
Queenscliffe (B),90,35,50,5
South Gippsland (S),1530,875,570,105
Southern Grampians (S),815,565,235,85
Stonnington (C),2890,1540,575,740
Strathbogie (S),530,390,165,35
Surf Coast (S),1170,495,380,115
Swan Hill (RC),1160,765,240,115
Towong (S),255,200,55,10
Wangaratta (RC),1465,870,390,145
Warrnambool (C),1995,1155,645,235
Wellington (S),2820,1740,930,240
West Wimmera (S),185,145,40,10
Whitehorse (C),6910,2710,2035,1200
Whittlesea (C),13225,6885,2430,1890
Wodonga (C),2505,1465,425,305
Wyndham (C),18055,7725,2555,2010
Yarra (C),3980,2610,665,915
Yarra Ranges (S),6635,3305,1920,645
Yarriambiack (S),350,285,85,30
Unincorporated Vic,20,15,5,0
Aurukun (S),475,415,5,65
Balonne (S),250,175,15,25
Banana (S),535,410,55,40
Barcaldine (R),105,70,5,10
Barcoo (S),5,5,0,10
Blackall-Tambo (R),70,65,10,10
Boulia (S),60,40,5,5
Brisbane (C),50930,28975,5515,11360
Bulloo (S),15,10,5,10
Bundaberg (R),6410,5160,970,760
Burdekin (S),800,675,80,95
Burke (S),35,30,0,5
Cairns (R),11270,8140,850,1405
Carpentaria (S),270,230,5,35
Cassowary Coast (R),1985,1745,200,185
Central Highlands (R) (Qld),1150,805,95,120
Charters Towers (R),610,545,45,80
Cherbourg (S),320,245,10,55
Cloncurry (S),215,185,5,20
Cook (S),525,450,30,45
Croydon (S),30,15,0,5
Diamantina (S),10,5,0,0
Doomadgee (S),465,360,0,45
Douglas (S),835,720,95,65
Etheridge (S),30,15,5,0
Flinders (S) (Qld),75,60,5,5
Fraser Coast (R),7315,6110,1250,870
Gladstone (R),4050,3300,490,455
Gold Coast (C),28945,17910,2675,4480
Goondiwindi (R),485,330,45,50
Gympie (R),3340,2650,415,375
Hinchinbrook (S),590,505,80,65
Hope Vale (S),320,230,10,60
Ipswich (C),14760,9260,1195,2125
Isaac (R),480,350,35,35
Kowanyama (S),345,285,0,55
Livingstone (S),1605,1155,295,135
Lockhart River (S),160,110,5,30
Lockyer Valley (R),2380,1650,235,400
Logan (C),23895,14780,1915,3295
Longreach (R),145,95,10,20
Mackay (R),5180,3855,585,545
McKinlay (S),30,15,5,5
Mapoon (S),70,50,5,5
Maranoa (R),560,390,65,60
Mareeba (S),1850,1665,100,175
Moreton Bay (R),24400,15455,2895,3210
Mornington (S),285,245,0,30
Mount Isa (C),1460,1035,40,195
Murweh (S),220,190,25,30
Napranum (S),225,210,5,30
Noosa (S),2050,1595,320,215
North Burnett (R),690,630,70,65
Northern Peninsula Area (R),495,325,5,55
Palm Island (S),690,515,10,100
Paroo (S),160,145,5,25
Pormpuraaw (S),240,210,5,15
Quilpie (S),30,25,5,10
Redland (C),6410,4255,890,750
Richmond (S),25,20,5,10
Rockhampton (R),5220,3725,500,600
Scenic Rim (R),2070,1550,245,230
Somerset (R),1410,1135,165,140
South Burnett (R),2250,1820,250,275
Southern Downs (R),2000,1555,295,210
Sunshine Coast (R),14790,9245,2050,2180
Tablelands (R),1585,1360,155,170
Toowoomba (R),9265,5770,1095,1330
Torres (S),430,225,5,45
Torres Strait Island (R),1245,640,5,90
Townsville (C),11670,7985,995,1925
Weipa (T),145,80,5,10
Western Downs (R),1940,1465,170,245
Whitsunday (R),1690,1450,180,140
Winton (S),35,25,5,10
Woorabinda (S),310,240,5,45
Wujal Wujal (S),125,105,5,10
Yarrabah (S),855,660,15,150
Adelaide (C),1735,1220,130,650
Adelaide Hills (DC),1185,585,215,165
Adelaide Plains (DC),545,405,60,60
Alexandrina (DC),1360,1150,260,135
Anangu Pitjantjatjara (AC),625,540,5,75
Barossa (DC),985,680,180,90
Barunga West (DC),105,130,15,5
Berri and Barmera (DC),645,585,75,100
Burnside (C),1355,615,170,300
Campbelltown (C) (SA),2310,1380,315,390
Ceduna (DC),360,290,5,40
Charles Sturt (C),5375,4155,705,960
Clare and Gilbert Valleys (DC),345,295,50,30
Cleve (DC),75,50,5,10
Coober Pedy (DC),230,275,5,25
Copper Coast (DC),1020,935,220,80
Elliston (DC),65,55,5,10
Flinders Ranges (DC),90,90,10,5
Franklin Harbour (DC),50,45,10,10
Gawler (T),1495,1085,180,225
Goyder (DC),255,235,40,20
Grant (DC),300,205,60,25
Holdfast Bay (C),1235,810,200,230
Kangaroo Island (DC),205,170,30,10
Karoonda East Murray (DC),60,55,15,10
Kimba (DC),30,15,5,10
Kingston (DC) (SA),70,75,10,10
Light (RegC),760,370,100,115
Lower Eyre Peninsula (DC),220,135,40,15
Loxton Waikerie (DC),575,495,70,55
Maralinga Tjarutja (AC),15,15,0,0
Marion (C),4800,3240,710,1015
Mid Murray (DC),580,640,95,45
Mitcham (C),2370,1145,325,540
Mount Barker (DC),1710,970,250,240
Mount Gambier (C),1800,1295,295,220
Mount Remarkable (DC),135,140,20,10
Murray Bridge (RC),1525,1345,185,185
Naracoorte and Lucindale (DC),370,255,50,25
Northern Areas (DC),195,180,25,15
Norwood Payneham St Peters (C),1330,835,155,300
Onkaparinga (C),10375,7500,1400,1565
Orroroo/Carrieton (DC),25,20,5,10
Peterborough (DC),135,160,10,10
Playford (C),9305,7200,790,1525
Port Adelaide Enfield (C),7785,6030,815,1435
Port Augusta (C),1275,1195,100,175
Port Lincoln (C),985,820,115,105
Port Pirie City and Dists (M),1355,1185,220,195
Prospect (C),740,445,95,150
Renmark Paringa (DC),575,535,60,65
Robe (DC),40,25,10,10
Roxby Downs (M),75,45,5,5
Salisbury (C),10770,7590,1035,1830
Southern Mallee (DC),75,50,10,10
Streaky Bay (DC),105,80,15,10
Tatiara (DC),230,150,25,25
Tea Tree Gully (C),4340,2620,600,655
The Coorong (DC),305,300,30,30
Tumby Bay (DC),115,85,25,10
Unley (C),1225,640,165,250
Victor Harbor (C),845,630,200,85
Wakefield (DC),435,355,45,35
Walkerville (M),225,165,25,45
Wattle Range (DC),620,570,130,70
West Torrens (C),2600,1815,310,595
Whyalla (C),1785,1725,220,260
Wudinna (DC),40,25,5,10
Yankalilla (DC),290,255,55,25
Yorke Peninsula (DC),585,585,130,35
Unincorporated SA,340,335,5,45
Albany (C),1875,1370,280,235
Armadale (C),5170,3695,530,690
Ashburton (S),200,155,5,15
Augusta-Margaret River (S),705,440,135,35
Bassendean (T),730,525,85,90
Bayswater (C),3205,2140,450,470
Belmont (C),2290,1610,235,350
Beverley (S),100,85,15,10
Boddington (S),75,75,10,5
Boyup Brook (S),60,40,10,5
Bridgetown-Greenbushes (S),220,160,45,10
Brookton (S),55,50,5,10
Broome (S),1585,1240,55,185
Broomehill-Tambellup (S),75,60,5,15
Bruce Rock (S),35,40,5,5
Bunbury (C),1950,1670,285,235
Busselton (C),1600,1095,285,150
Cambridge (T),490,230,50,110
Canning (C),4360,2300,545,830
Capel (S),760,460,110,85
Carnamah (S),35,35,5,5
Carnarvon (S),605,520,20,75
Chapman Valley (S),55,50,5,10
Chittering (S),190,100,20,10
Claremont (T),245,110,20,80
Cockburn (C),4770,3160,620,740
Collie (S),580,555,85,40
Coolgardie (S),225,210,15,20
Coorow (S),70,55,5,10
Corrigin (S),35,30,5,5
Cottesloe (T),145,65,15,40
Cranbrook (S),50,40,5,5
Cuballing (S),45,35,10,10
Cue (S),25,30,0,5
Cunderdin (S),55,45,5,15
Dalwallinu (S),50,35,5,10
Dandaragan (S),145,125,30,10
Dardanup (S),545,345,110,45
Denmark (S),285,225,50,25
Derby-West Kimberley (S),1930,1495,20,270
Donnybrook-Balingup (S),270,205,45,15
Dowerin (S),40,25,5,5
Dumbleyung (S),35,30,5,5
Dundas (S),75,75,5,5
East Fremantle (T),195,125,35,30
East Pilbara (S),525,420,10,60
Esperance (S),605,385,70,65
Exmouth (S),140,120,15,10
Fremantle (C),1430,1300,175,250
Gingin (S),210,185,20,15
Gnowangerup (S),65,45,5,15
Goomalling (S),50,45,5,5
Gosnells (C),7630,4685,820,1120
Greater Geraldton (C),2675,2125,190,325
Halls Creek (S),1050,775,5,150
Harvey (S),1210,815,245,105
Irwin (S),155,145,30,10
Jerramungup (S),45,25,10,10
Joondalup (C),4945,2765,815,720
Kalamunda (C),2145,1325,295,250
Kalgoorlie/Boulder (C),1385,1030,70,135
Karratha (C),1060,845,30,105
Katanning (S),345,245,30,35
Kellerberrin (S),80,80,5,10
Kent (S),10,5,0,5
Kojonup (S),85,75,5,10
Kondinin (S),40,30,5,10
Koorda (S),20,15,5,5
Kulin (S),20,10,5,10
Kwinana (C),2730,2000,275,375
Lake Grace (S),30,15,5,5
Laverton (S),125,110,5,15
Leonora (S),110,95,0,15
Mandurah (C),4770,3785,750,555
Manjimup (S),435,320,80,35
Meekatharra (S),240,175,0,35
Melville (C),3000,1495,470,595
Menzies (S),30,25,5,5
Merredin (S),200,175,15,25
Mingenew (S),10,20,0,0
Moora (S),155,120,10,20
Morawa (S),55,40,5,10
Mosman Park (T),230,165,25,50
Mount Magnet (S),110,105,5,15
Mount Marshall (S),20,15,5,5
Mukinbudin (S),20,15,0,0
Mundaring (S),1315,850,185,140
Murchison (S),5,5,0,5
Murray (S),975,730,185,90
Nannup (S),70,85,15,10
Narembeen (S),25,15,5,5
Narrogin (S),305,230,30,45
Nedlands (C),420,170,45,140
Ngaanyatjarraku (S),1110,960,5,155
Northam (S),840,700,60,100
Northampton (S),180,180,20,10
Nungarin (S),15,15,0,0
Peppermint Grove (S),20,10,5,5
Perenjori (S),15,10,5,5
Perth (C),1760,1235,130,500
Pingelly (S),100,85,10,10
Plantagenet (S),345,255,55,20
Port Hedland (T),1025,855,20,120
Quairading (S),75,70,5,5
Ravensthorpe (S),75,80,5,5
Rockingham (C),6715,4590,790,800
Sandstone (S),0,5,0,0
Serpentine-Jarrahdale (S),1195,675,150,130
Shark Bay (S),50,45,5,10
South Perth (C),1615,895,210,425
Stirling (C),9200,6250,1125,1395
Subiaco (C),440,295,60,90
Swan (C),8405,5235,885,1065
Tammin (S),40,35,5,5
Three Springs (S),30,35,5,5
Toodyay (S),245,175,25,25
Trayning (S),15,20,5,5
Upper Gascoyne (S),5,5,0,0
Victoria Park (T),1675,1125,190,380
Victoria Plains (S),30,15,5,0
Vincent (C),1300,810,155,285
Wagin (S),105,95,5,15
Wandering (S),15,15,5,5
Wanneroo (C),10285,6260,1255,1375
Waroona (S),230,215,30,20
West Arthur (S),30,20,5,5
Westonia (S),10,10,5,0
Wickepin (S),45,25,10,5
Williams (S),25,25,5,5
Wiluna (S),110,95,0,10
Wongan-Ballidu (S),60,55,10,5
Woodanilling (S),20,15,5,10
Wyalkatchem (S),40,30,5,5
Wyndham-East Kimberley (S),1045,820,15,130
Yalgoo (S),40,45,0,5
Yilgarn (S),45,60,0,5
York (S),200,175,20,20
Break O'Day (M),510,510,115,45
Brighton (M),1465,1055,150,215
Burnie (C),1430,1050,265,200
Central Coast (M) (Tas.),1295,880,360,120
Central Highlands (M) (Tas.),150,130,30,15
Circular Head (M),425,305,100,40
Clarence (C),2865,1690,560,450
Derwent Valley (M),805,615,130,95
Devonport (C),1760,1285,385,280
Dorset (M),470,365,100,45
Flinders (M) (Tas.),50,45,5,5
George Town (M),610,490,130,65
Glamorgan/Spring Bay (M),245,190,70,15
Glenorchy (C),3250,2335,490,555
Hobart (C),2505,1380,400,775
Huon Valley (M),1245,915,300,115
Kentish (M),410,295,115,30
King Island (M),40,30,10,0
Kingborough (M),1680,905,395,225
Latrobe (M) (Tas.),660,435,195,55
Launceston (C),4875,3445,765,765
Meander Valley (M),1035,720,235,90
Northern Midlands (M),695,515,160,55
Sorell (M),905,585,180,100
Southern Midlands (M),395,275,60,45
Tasman (M),160,150,40,10
Waratah/Wynyard (M),840,605,205,90
West Coast (M),300,370,35,20
West Tamar (M),1280,780,335,145
Alice Springs (T),2455,1830,45,280
Barkly (R),1540,1200,5,190
Belyuen (S),75,70,0,10
Central Desert (R),1040,830,5,140
Coomalie (S),150,140,5,15
Darwin (C),3745,2675,165,455
East Arnhem (R),3260,2590,5,425
Katherine (T),1305,995,20,190
Litchfield (M),760,665,50,55
MacDonnell (R),1645,1315,5,200
Palmerston (C),2060,1285,105,245
Roper Gulf (R),2045,1570,10,280
Tiwi Islands (R),760,615,5,95
Victoria Daly (R),640,460,5,80
Wagait (S),20,20,5,5
West Arnhem (R),2065,1655,0,295
West Daly (R),1205,890,5,220
Unincorporated NT,690,560,5,75
Unincorporated ACT,13130,6910,1520,2765
Unincorp. Other Territories,110,80,5,15
